epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,1010.42,1.02082,0.02798,0.03871,0.63998,0.90247,0.87523,0.77397,0.85249,0.55764,0.8863,0.80307,0.8945,0.89254,1.13291,0.02413,0.00406,0.78757,0.94796,0.0010397,0.0010397,0.0010397
99,1021.14,1.00287,0.02999,0.03541,0.63513,0.9012,0.87752,0.76536,0.85297,0.55984,0.85122,0.84078,0.90079,0.89903,1.15499,0.02283,0.00645,0.74253,0.94676,0.0010298,0.0010298,0.0010298
100,1031.79,0.98769,0.02788,0.0369,0.62464,0.90391,0.83049,0.80866,0.85604,0.56182,0.85787,0.84078,0.90105,0.89792,1.1518,0.02486,0.00663,0.78709,0.94862,0.0010199,0.0010199,0.0010199
101,1043.02,0.99473,0.02766,0.04047,0.62897,0.89913,0.84623,0.78073,0.84114,0.55868,0.85937,0.82402,0.89937,0.89669,1.1343,0.02443,0.00247,0.7694,0.94116,0.00101,0.00101,0.00101
102,1053.38,0.99597,0.028,0.03644,0.63,0.902,0.87568,0.78699,0.85788,0.56249,0.8878,0.81779,0.8978,0.89572,1.13676,0.02443,0.0034,0.76698,0.94314,0.0010001,0.0010001,0.0010001
103,1063.61,0.98103,0.02705,0.03642,0.62637,0.90541,0.86973,0.8019,0.86419,0.57277,0.89032,0.83101,0.90726,0.90588,1.14204,0.02381,0.00345,0.72647,0.94568,0.0009902,0.0009902,0.0009902
104,1073.9,0.98056,0.02849,0.03397,0.61876,0.89934,0.85546,0.77793,0.84645,0.55415,0.87142,0.82351,0.89475,0.89265,1.13337,0.02455,0.00378,0.78695,0.94068,0.0009803,0.0009803,0.0009803
105,1084.01,0.99079,0.02834,0.0322,0.62032,0.89829,0.87929,0.76305,0.84688,0.54527,0.88245,0.81285,0.9021,0.90006,1.18746,0.02393,0.00423,0.77953,0.95302,0.0009704,0.0009704,0.0009704
106,1094.24,1.00406,0.02968,0.03775,0.6224,0.89815,0.87884,0.75838,0.85043,0.55562,0.85072,0.84367,0.90576,0.90379,1.14664,0.02396,0.00403,0.73623,0.95048,0.0009605,0.0009605,0.0009605
107,1104.47,0.97939,0.02724,0.03132,0.61126,0.88491,0.88597,0.78631,0.86362,0.56643,0.88796,0.81564,0.90081,0.89873,1.12765,0.02454,0.0056,0.75207,0.94745,0.0009506,0.0009506,0.0009506
108,1114.71,0.97365,0.02798,0.03407,0.60657,0.9029,0.80998,0.82542,0.85022,0.56285,0.85737,0.83799,0.89759,0.89498,1.11426,0.02453,0.00427,0.75209,0.94469,0.0009407,0.0009407,0.0009407
109,1125.11,0.98856,0.03035,0.03882,0.6118,0.89938,0.87821,0.76257,0.84425,0.54955,0.85088,0.84473,0.90135,0.89894,1.14156,0.02412,0.00419,0.76138,0.95558,0.0009308,0.0009308,0.0009308
110,1135.35,0.96712,0.02697,0.03086,0.6086,0.89796,0.84203,0.7891,0.83879,0.55389,0.86655,0.81704,0.88762,0.88443,1.14767,0.02466,0.00604,0.81082,0.95139,0.0009209,0.0009209,0.0009209
